Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
Semiramis,Trademark/Copyright,01760-Semiramis-Finalize settlement agreement with MDJ Nemry Corp. regarding SEMIRAMIS trademark dispute,Finalize settlement agreement with MDJ Nemry Corp. regarding SEMIRAMIS trademark dispute,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
Semiramis,Trademark/Copyright,01761-Semiramis-Prosecute U.S. trademark applications directed to SEMIRAMIS marks,Prosecute U.S. trademark applications directed to SEMIRAMIS marks,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Hasnain S. Bawaadam,Patents,01766-Bawaadam-Patents - marking of lesions using coil and fluorescent dye,Patents - marking of lesions using coil and fluorescent dye,Umair A. Qadeer,Umair A. Qadeer,Yes,2/27/23,,,,,,,,
Hasnain S. Bawaadam,Patents,02073-Bawaadam-Intellectual Property - general matters,Intellectual Property - general matters,Umair A. Qadeer,Umair A. Qadeer,Yes,2/27/23,,,,,,,,
Hasnain S. Bawaadam,Litigation,02074-Bawaadam-Litigation - dispute with Abdul Alraiyes,Litigation - dispute with Abdul Alraiyes,Umair A. Qadeer,Umair A. Qadeer,Yes,2/27/23,,,,,,,,
"North American Solutions Team, LLC",Corporate & Securities,"01733-North American Solutions Team, LLC-General Business",General Business,Doug Mitchell,Doug Mitchell,Yes,2/5/24,,,,,,,,
Erika Hannink,Real Estate & Land Use,01736-Hannick-4120 Cee Pee Ct.,4120 Cee Pee Ct.,Marissa Fox,Marissa Fox,Yes,10/11/23,,,,,,,,
David and Nancy McLaughlin,Corporate & Securities,01737-McLaughlin-Resolution of breach of contract,Resolution of breach of contract,Emma Thompson,Emma Thompson,Yes,12/5/22,,,,,,,,
Guillermo Isa,Corporate & Securities,01767-Isa-O-1 Visa,O-1 Visa,Alfred Bridi,Alfred Bridi,Yes,12/1/22,,,,,,,,
"Carlsen O'Connell, Inc.",Litigation,"01743-Carlsen O'Connell, Inc.-Non-Party Witness Deposition",Non-Party Witness Deposition,Jamie Wells,Doug Mitchell,Yes,11/3/22,,,,,,,,
"Carlsen O'Connell, Inc.",Corporate & Securities,"01940-Carlsen O'Connell, Inc.-General Business",General Business,Doug Mitchell,Doug Mitchell,Yes,1/4/23,,,,,,,,
"Atlas Bimetals Labs, Inc.",Patents,"01806-Atlas Bimetals Labs, Inc.-Intellectual Property - patent application(s) directed to systems and methods for solvent-free low pressure extraction from compositions of matter",Intellectual Property - patent application(s) directed to systems and methods for solvent-free low pressure extraction from compositions of matter,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Atlas Bimetals Labs, Inc.",Patents,"01807-Atlas Bimetals Labs, Inc.-Intellectual Property - patent application(s) directed to bimetallic connectors and connector systems for use in ultra-high vacuum systems",Intellectual Property - patent application(s) directed to bimetallic connectors and connector systems for use in ultra-high vacuum systems,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
Women In FinTech,Corporate & Securities,01744-Women In FinTech-Women In FinTech - General Business Consulting,Women In FinTech - General Business Consulting,Jamie Wells,Jamie Wells,Yes,11/1/22,,,,,,,,
"Enigma Labs, LLC",Corporate & Securities,"01745-Enigma Labs, LLC-Intellectual property and government contract services",Intellectual property and government contract services,Eric Blatt,Eric Blatt,Yes,11/4/22,,,,,,,,
Burgese Viraf Parekh,Litigation,01746-Parekh-Government Investigation(s) and Enforcement Action(s),Government Investigation(s) and Enforcement Action(s),Samer Korkor,Samer Korkor,Yes,5/3/24,,,,,,,,
Eclipse Energy,Corporate & Securities,01808-Eclipse Energy-Sale of Company,Sale of Company,Steve Forbes,Steve Forbes,Yes,5/4/23,,,,,,,,
Lorenz & Kollegen,Patents,"01771-Lorenz & Kollegen-Patents - patent application(s) directed to methods, casting molds, and devices for producing vehicle wheels","Patents - patent application(s) directed to methods, casting molds, and devices for producing vehicle wheels",Umair A. Qadeer,Umair A. Qadeer,Yes,11/3/22,,,,,,,,
AMINA Sciences LLC,Patents,01749-AMINA Sciences LLC-Intellectual Property - patent application(s) directed to systems and methods for therapeutic apheresis,Intellectual Property - patent application(s) directed to systems and methods for therapeutic apheresis,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
AMINA Sciences LLC,Patents,01750-AMINA Sciences LLC-Intellectual Property - patent maintenance for patent(s) directed to systems and methods for therapeutic apheresis,Intellectual Property - patent maintenance for patent(s) directed to systems and methods for therapeutic apheresis,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
Same Space LLC,Corporate & Securities,01770-Same Space LLC-Purchase of Pacific Overlander,Purchase of Pacific Overlander,Steve Forbes,Brian Scherer,Yes,11/3/22,,,,,,,,
Sean Ward,Real Estate & Land Use,01772-Ward-General real estate,General real estate,Marissa Fox,Marissa Fox,Yes,7/8/24,,,,,,,,
Sean Ward,Real Estate & Land Use,04439-Ward-Baird Litigation,Baird Litigation,Marissa Fox,Marissa Fox,Yes,5/10/24,,,,,,,,
Kinnami Software Corporation,Corporate & Securities,01783-Kinnami Software Corporation-Intellectual property and government contract services,Intellectual property and government contract services,Eric Blatt,Eric Blatt,Yes,4/3/24,,,,,,,,
Kinnami Software Corporation,Patents,03726-Kinnami Software Corporation-Patent Portfolio Development,Patent Portfolio Development,Brian Detwiler,Brian Detwiler,Yes,,,,,,,,,
Kinnami Software Corporation,Patents,03727-Kinnami Software Corporation-IP Assessment Project,IP Assessment Project,Brian Detwiler,Brian Detwiler,Yes,11/7/23,,,,,,,,
Priori,Fintech & Financial Services,01784-Priori-Brian's secondment as Google pCounsel,Brian's secondment as Google pCounsel,Brian Scherer,Scale LLP,Yes,7/6/23,,,,,,,,
Jake Levenson,,01786-Levenson-Potential purchase of sailing club.,Potential purchase of sailing club.,Marissa Fox,Marissa Fox,Yes,,,,,,,,,
Susan Cook,Real Estate & Land Use,01787-Cook-1000 Cooks Spur,1000 Cooks Spur,Marissa Fox,Marissa Fox,Yes,7/8/24,,,,,,,,
Susan Cook,Real Estate & Land Use,05001-Cook-ATV Purchase,ATV Purchase,,Marissa Fox,Yes,7/8/24,,,,,,,,
Amanda Hat,Real Estate & Land Use,01790-Hat-1629 Vine St.,1629 Vine St.,Marissa Fox,Marissa Fox,Yes,12/5/23,,,,,,,,
Daniel Bhatti,Corporate & Securities,02022-Bhatti-General Legal Advice,General Legal Advice,Emma Thompson,Emma Thompson,Yes,7/8/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"01797-Lindgren, Lindgren, Oehm & You LLP-Archetype Fund - various tax matters",Archetype Fund - various tax matters,Jonathan Van Loo,Jonathan Van Loo,Yes,9/7/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"01798-Lindgren, Lindgren, Oehm & You LLP-Axiom Fund - various tax matters",Axiom Fund - various tax matters,Jonathan Van Loo,Jonathan Van Loo,Yes,,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"01815-Lindgren, Lindgren, Oehm & You LLP-Emissary RE Fund- Tax advice for real estate fund",Emissary RE Fund- Tax advice for real estate fund,Jonathan Van Loo,Jonathan Van Loo,Yes,,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"02018-Lindgren, Lindgren, Oehm & You LLP-Lazo LLP tax advice",Lazo LLP tax advice,Jonathan Van Loo,Jonathan Van Loo,Yes,1/4/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"02043-Lindgren, Lindgren, Oehm & You LLP-Numus Tax Advice",Numus Tax Advice,Jonathan Van Loo,Jonathan Van Loo,Yes,3/15/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"02045-Lindgren, Lindgren, Oehm & You LLP-Open Forest tax advice",Open Forest tax advice,Jonathan Van Loo,Jonathan Van Loo,Yes,7/6/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"02168-Lindgren, Lindgren, Oehm & You LLP-Atbash Labs",Atbash Labs,Jonathan Van Loo,Jonathan Van Loo,Yes,5/3/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"02212-Lindgren, Lindgren, Oehm & You LLP-Coop Records",Coop Records,Jonathan Van Loo,Jonathan Van Loo,Yes,4/4/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"03468-Lindgren, Lindgren, Oehm & You LLP-Lagunita",Lagunita,Jonathan Van Loo,Jonathan Van Loo,Yes,,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"03495-Lindgren, Lindgren, Oehm & You LLP-GameChain",GameChain,Jonathan Van Loo,Jonathan Van Loo,Yes,11/6/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"03573-Lindgren, Lindgren, Oehm & You LLP-Share XYZ",Share XYZ,Jonathan Van Loo,Jonathan Van Loo,Yes,10/4/23,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"03610-Lindgren, Lindgren, Oehm & You LLP-Coll",Coll,Jonathan Van Loo,Jonathan Van Loo,Yes,,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"03846-Lindgren, Lindgren, Oehm & You LLP-Quantum Acquisition",Quantum Acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,2/5/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"04322-Lindgren, Lindgren, Oehm & You LLP-Gates Mills",Gates Mills,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"04419-Lindgren, Lindgren, Oehm & You LLP-Wakem Capital",Wakem Capital,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/24,,,,,,,,
"Lindgren, Lindgren, Oehm & You LLP",Corporate & Securities,"04423-Lindgren, Lindgren, Oehm & You LLP-Excellar",Excellar,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/24,,,,,,,,
Atoka,Corporate & Securities,01802-Atoka-Corporate and Tax Advice for Atoka,Corporate and Tax Advice for Atoka,,Dori Karjian,Yes,7/8/24,,,,,,,,
Atoka,Trademark/Copyright,01942-Atoka-US TM ATOKA (Word Mark),US TM ATOKA (Word Mark),James Creedon,James Creedon,Yes,11/6/23,,,,,,,,
Atoka,Trademark/Copyright,01943-Atoka-US TM ATOKA (Design Mark),US TM ATOKA (Design Mark),James Creedon,James Creedon,Yes,1/5/24,,,,,,,,
Stria Sport LLC,Corporate & Securities,01800-Stria Sport LLC-Fundraising and General Corporate Representation,Fundraising and General Corporate Representation,Lindsey Altmeyer,Lindsey Altmeyer,Yes,12/5/22,,,,,,,,
Kava,Corporate & Securities,01813-Kava-Kava Corporate and Tax Advice,Kava Corporate and Tax Advice,Jonathan Van Loo,Jonathan Van Loo,Yes,3/12/24,,,,,,,,
Roko Skender,Corporate & Securities,01801-Skender-Corporate Formation,Corporate Formation,Brian McEvoy,Brian McEvoy,Yes,3/6/23,,,,,,,,
"Heartspeak Institute, Inc.",Trademark/Copyright,"01817-Heartspeak Institute, Inc.-Trademarks - trademark application for HEARTSPEAK INSTITUTE",Trademarks - trademark application for HEARTSPEAK INSTITUTE,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Heartspeak Institute, Inc.",Trademark/Copyright,"01818-Heartspeak Institute, Inc.-Trademarks - trademark opposition against HEARTSPEAK mark",Trademarks - trademark opposition against HEARTSPEAK mark,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Umee,Corporate & Securities,01828-Umee-Corporate and Tax Advice for Umee,Corporate and Tax Advice for Umee,Jonathan Van Loo,Jonathan Van Loo,Yes,3/15/24,,,,,,,,
James Reidy,Corporate & Securities,01803-Reidy-Response to IRS,Response to IRS,Jonathan Van Loo,Jonathan Van Loo,Yes,5/7/24,,,,,,,,
Globetrotter Properties LLC,Real Estate & Land Use,01804-Globetrotter Properties LLC-3735 Highway 50,176 U.S. 50,Marissa Fox,Marissa Fox,Yes,7/16/24,,,,,,,,
Look Electric LLC,Corporate & Securities,01805-Look Electric LLC-General Corporate Counsel,General Corporate Counsel,Brian McEvoy,Brian McEvoy,Yes,12/5/22,,,,,,,,
Hecht Law PC,Corporate & Securities,01814-Hecht Law PC-Various Tax Matters,Various Tax Matters,Jonathan Van Loo,Jonathan Van Loo,Yes,,,,,,,,,
Hecht Law PC,Corporate & Securities,01822-Hecht Law PC-Tax Advice for Joyride Autos,Tax Advice for Joyride Autos,Jonathan Van Loo,Jonathan Van Loo,Yes,12/9/22,,,,,,,,
Hecht Law PC,Corporate & Securities,"01832-Hecht Law PC-Stilt, Inc. Asset Purchase Transaction - Tax Advice","Stilt, Inc. Asset Purchase Transaction - Tax Advice",Jonathan Van Loo,Jonathan Van Loo,Yes,11/30/22,,,,,,,,
Hecht Law PC,Corporate & Securities,01870-Hecht Law PC-Tax Advice on SCRIPTS Asia Inc. acquisition,Tax Advice on SCRIPTS Asia Inc. acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/24,,,,,,,,
Hecht Law PC,Corporate & Securities,01941-Hecht Law PC-Tax Advice on Tule-CropX Merger,Tax Advice on Tule-CropX Merger,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/23,,,,,,,,
Hecht Law PC,Corporate & Securities,"02005-Hecht Law PC-Tax advice on proposal for Coveralls, Inc.","Tax advice on proposal for Coveralls, Inc.",Jonathan Van Loo,Jonathan Van Loo,Yes,2/15/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02121-Hecht Law PC-Laskie Acquisition,Laskie Acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,5/3/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02301-Hecht Law PC-Drapr Acquisition Followup,Drapr Acquisition Followup,Jonathan Van Loo,Jonathan Van Loo,Yes,5/3/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02319-Hecht Law PC-Wealthly APA,Wealthly APA,Jonathan Van Loo,Jonathan Van Loo,Yes,5/3/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02322-Hecht Law PC-Akorda acquisition,Akorda acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,8/14/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02369-Hecht Law PC-Halftime Acquisition,Halftime Acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,8/4/23,,,,,,,,
Hecht Law PC,Corporate & Securities,02660-Hecht Law PC-TEGSCO acquisition,TEGSCO acquisition,Jonathan Van Loo,Jonathan Van Loo,Yes,10/3/23,,,,,,,,
Hecht Law PC,Corporate & Securities,03658-Hecht Law PC-Jemi Inc.,Jemi Inc.,Jonathan Van Loo,Jonathan Van Loo,Yes,11/1/23,,,,,,,,
Hecht Law PC,Corporate & Securities,03667-Hecht Law PC-Espresso Computing,Espresso Computing,Jonathan Van Loo,Jonathan Van Loo,Yes,11/1/23,,,,,,,,
Hecht Law PC,Corporate & Securities,03857-Hecht Law PC-General,General,Jonathan Van Loo,Jonathan Van Loo,Yes,3/6/24,,,,,,,,
Hecht Law PC,Corporate & Securities,04385-Hecht Law PC-St Frank Sale,St Frank Sale,Jonathan Van Loo,Jonathan Van Loo,Yes,3/15/24,,,,,,,,
The Endaoment LLC,Corporate & Securities,01816-The Endaoment LLC-Formation & Financing,Formation & Financing,Chris Jones,Chris Jones,Yes,12/5/22,,,,,,,,
"Bristol Mall Holding Company, LLC",Corporate & Securities,"01819-Bristol Mall Holding Company, LLC-Hard Rock Bristol - Ongoing advice regarding development and operation of Hard Rock Bristol casino and resort in Bristol, Virginia","Hard Rock Bristol - Ongoing advice regarding development and operation of Hard Rock Bristol casino and resort in Bristol, Virginia",Scott Wiegand,Scott Wiegand,Yes,11/3/22,,,,,,,,
The Williams Bros Corporation of America,Patents,01820-The Williams Bros Corporation of America-20001 Miscellaneous Matters,20001 Miscellaneous Matters,Thomas Stine,Thomas Stine,Yes,7/9/24,,,,,,,,
The Williams Bros Corporation of America,Trademark/Copyright,01829-The Williams Bros Corporation of America-Trademark Portfolio,Trademark Portfolio,Thomas Stine,Thomas Stine,Yes,7/9/24,,,,,,,,
The Williams Bros Corporation of America,Patents,02119-The Williams Bros Corporation of America-Karp Associates,Karp Associates,Thomas Stine,Thomas Stine,Yes,5/4/23,,,,,,,,
The Williams Bros Corporation of America,Patents,02128-The Williams Bros Corporation of America-20207 - Capitol Building Supply Matter,20207 - Capitol Building Supply Matter,Thomas Stine,Thomas Stine,Yes,3/6/23,,,,,,,,
The Williams Bros Corporation of America,Corporate & Securities,"02679-The Williams Bros Corporation of America-20008 - Linhdor, Inc - Manufacturer's Supply Agreement","20008 - Lihndor, Inc - Manufacturer's Supply Agreement",Thomas Stine,Thomas Stine,Yes,9/11/23,,,,,,,,
The Williams Bros Corporation of America,Corporate & Securities,02680-The Williams Bros Corporation of America-20009 - Sales Representative Agreement,20009 - Sales Representative Agreement,Thomas Stine,Thomas Stine,Yes,9/11/23,,,,,,,,
The Williams Bros Corporation of America,Corporate & Securities,04515-The Williams Bros Corporation of America-200/010 - Manufacturing/Distribution Agreement With Akifix S.p.A.,200/010 - Manufacturing/Distribution Agreement With Akifix S.p.A.,,Thomas Stine,Yes,5/8/24,,,,,,,,
The Williams Bros Corporation of America,Corporate & Securities,05208-The Williams Bros Corporation of America-Amerified LLC Representation Agreement,Amerified LLC Representation Agreement,,Thomas Stine,Yes,7/9/24,,,,,,,,
The Williams Bros Corporation of America,Real Estate & Land Use,05226-The Williams Bros Corporation of America-Business Succession Planning,Business Succession Planning,,Thomas Stine,Yes,6/21/24,,,,,,,,
Presh Fitness LLC,Corporate & Securities,01823-Presh Fitness LLC-Outside General Counsel,Outside General Counsel,Amy Duvanich,Amy Duvanich,Yes,12/3/22,,,,,,,,
Forward Search LLC,Corporate & Securities,01826-Forward Search LLC-Draft LLC documentation,Draft LLC documentation,David Lundeen,David Lundeen,Yes,7/6/23,,,,,,,,
Forward Search LLC,Corporate & Securities,01827-Forward Search LLC-General commercial and corporate matters,General commercial and corporate matters,David Lundeen,David Lundeen,Yes,,,,,,,,,
